Date,Day,is_Sunday,is_Monday,is_Tuesday,is_Wednesday,is_thrusday,is_Friday,is_Saturday,Liqour,Approx_ml_per_unit,Alcohol_unit,Remark,People_Accompanied,Family_Presence,sober_status
7/12/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
7/13/2014,1,1,0,0,0,0,0,0,Scotch,120,4.8,Home,0,1,0
7/14/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
7/15/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
7/16/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
7/17/2014,5,0,0,0,0,1,0,0,Beer,990,4.8,Grand Café + Home(1),1,0,0
7/18/2014,6,0,0,0,0,0,1,0,Wine,500,6.571428571,Sidd Home,1,0,0
7/19/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
7/20/2014,1,1,0,0,0,0,0,0,Scotch,120,4.8,Home,0,1,0
7/21/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
7/22/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
7/23/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
7/24/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
7/25/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
7/26/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
7/27/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
7/28/2014,2,0,1,0,0,0,0,0,Scotch,120,4.8,Home + Gopi + Mates,1,1,0
7/29/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
7/30/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
7/31/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
8/1/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
8/2/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
8/3/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/4/2014,2,0,1,0,0,0,0,0,Scotch,120,4.8,Home - Ananya Birthday,1,1,0
8/5/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/6/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
8/7/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
8/8/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
8/9/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
8/10/2014,1,1,0,0,0,0,0,0,Scotch,120,4.8,Home,0,1,0
8/11/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/12/2014,3,0,0,1,0,0,0,0,Beer,660,3.2,Home,0,1,0
8/13/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
8/14/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
8/15/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
8/16/2014,7,0,0,0,0,0,0,1,Scotch,150,6,Home with Sithanathan,1,1,0
8/17/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/18/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/19/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/20/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
8/21/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
8/22/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
8/23/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
8/24/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/25/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/26/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/27/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
8/28/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
8/29/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
8/30/2014,7,0,0,0,0,0,0,1,Wine + Beer,500,8,Home,0,1,0
8/31/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
9/1/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
9/2/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
9/3/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
9/4/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
9/5/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
9/6/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
9/7/2014,1,1,0,0,0,0,0,0,Beer,2,3.2,Home,0,1,0
9/8/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
9/9/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
9/10/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
9/11/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
9/12/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
9/13/2014,7,0,0,0,0,0,0,1,Scotch,100,4,Home,0,1,0
9/14/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
9/15/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
9/16/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
9/17/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
9/18/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
9/19/2014,6,0,0,0,0,0,1,0,Beer,2,3.2,Happy Italy Restaurant,1,0,0
9/20/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
9/21/2014,1,1,0,0,0,0,0,0,Scotch,100,4,Home,0,1,0
9/22/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
9/23/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
9/24/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
9/25/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
9/26/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
9/27/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
9/28/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
9/29/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
9/30/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
10/1/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
10/2/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
10/3/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
10/4/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
10/5/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
10/6/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
10/7/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
10/8/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
10/9/2014,5,0,0,0,0,1,0,0,Wine,400,5,Home + With Sidd,1,1,0
10/10/2014,6,0,0,0,0,0,1,0,Wine,800,8,Office Party EIM Event,1,0,0
10/11/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
10/12/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
10/13/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
10/14/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
10/15/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
10/16/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
10/17/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
10/18/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
10/19/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
10/20/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
10/21/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
10/22/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
10/23/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
10/24/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
10/25/2014,7,0,0,0,0,0,0,1,Scotch,125,5,Home,0,1,0
10/26/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
10/27/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
10/28/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
10/29/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
10/30/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
10/31/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
11/1/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
11/2/2014,1,1,0,0,0,0,0,0,Scotch,125,5,Home,0,1,0
11/3/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
11/4/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
11/5/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
11/6/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
11/7/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
11/8/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
11/9/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
11/10/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
11/11/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
11/12/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
11/13/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
11/14/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
11/15/2014,7,0,0,0,0,0,0,1,Whisky,150,6,Home,0,1,0
11/16/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
11/17/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
